City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
49,Lashio,MM,22.9333,97.75,63.03,79,11,0.83,few clouds
50,Imbituba,BR,-28.24,-48.6703,75.81,95,3,6.46,clear sky
51,Vriezenveen,NL,52.4083,6.6222,51.12,98,100,10.25,overcast clouds
52,Melito Di Porto Salvo,IT,37.9222,15.7714,55.11,76,75,4.61,broken clouds
53,Chuy,UY,-33.6971,-53.4616,66.61,80,5,8.16,moderate rain
54,Yellowknife,CA,62.456,-114.3525,7.32,85,90,5.75,light snow
55,East London,ZA,-33.0153,27.9116,71.98,94,100,14.76,overcast clouds
56,Saldanha,ZA,-33.0117,17.9442,60.85,93,2,14.12,clear sky
57,Berezovyy,RU,51.6667,135.7,18.34,86,99,2.82,overcast clouds
58,Saint-Philippe,RE,-21.3585,55.7679,76.59,73,38,11.18,scattered clouds
59,Ajaccio,FR,42.0,8.9167,39.25,81,0,8.05,clear sky
60,Defiance,US,41.3334,-84.45,39.24,60,1,11.5,clear sky
61,Valle De Banderas,MX,20.8,-105.2333,78.4,78,75,0.0,broken clouds
62,Cabo San Lucas,MX,22.8909,-109.9124,73.51,76,75,1.99,broken clouds
63,Butaritari,KI,3.0707,172.7902,82.13,75,22,14.99,few clouds
64,Vestmannaeyjar,IS,63.4427,-20.2734,43.3,73,100,16.35,overcast clouds
65,Mound,US,44.9366,-93.6661,34.52,78,88,1.99,overcast clouds
66,Monteria,CO,8.748,-75.8814,75.18,91,97,6.98,overcast clouds
67,Bluff,NZ,-46.6,168.3333,63.81,70,36,13.24,scattered clouds
68,Serchhip,IN,23.3,92.8333,57.45,67,0,2.24,clear sky
69,Port Alfred,ZA,-33.5906,26.891,71.67,95,100,12.66,overcast clouds
70,Korla,CN,41.7597,86.1469,17.35,74,26,2.62,scattered clouds
71,Khatanga,RU,71.9667,102.5,-48.03,99,82,5.41,broken clouds
72,Vaini,TO,-21.2,-175.2,84.36,79,20,13.8,light rain
73,Hobart,AU,-42.8794,147.3294,78.03,40,0,4.0,clear sky
74,Flagstaff,US,35.1981,-111.6513,44.26,62,1,1.01,clear sky
75,Tessalit,ML,20.1986,1.0114,67.06,11,81,8.05,broken clouds
76,Scunthorpe,GB,53.579,-0.6544,54.39,90,80,17.0,broken clouds
77,Dikson,RU,73.5069,80.5464,-16.91,96,76,16.98,broken clouds
78,Kodiak,US,57.79,-152.4072,11.71,57,1,19.57,clear sky
79,Hithadhoo,MV,-0.6,73.0833,80.73,79,52,10.22,broken clouds
80,Caravelas,BR,-17.7125,-39.2481,76.08,86,100,7.63,overcast clouds
81,Faanui,PF,-16.4833,-151.75,80.06,76,100,11.43,moderate rain
82,Sitka,US,57.0531,-135.33,35.49,55,75,6.91,light rain
83,Tapejara,BR,-28.0681,-52.0139,67.01,73,9,2.42,clear sky
84,Severo-Kurilsk,RU,50.6789,156.125,34.11,81,27,5.84,scattered clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,90,20.71,light snow
86,Sungaipenuh,ID,-2.0833,101.3833,72.5,79,99,2.15,overcast clouds
87,Avarua,CK,-21.2078,-159.775,75.25,88,75,4.61,very heavy rain
88,Batagay-Alyta,RU,67.8006,130.4114,-35.52,98,82,4.94,broken clouds
89,Lompoc,US,34.6391,-120.4579,54.12,84,1,0.0,clear sky
90,Kaniama,CD,-7.5667,24.1833,66.76,98,100,4.43,light rain
91,Alyangula,AU,-13.8483,136.4192,93.07,46,21,6.91,few clouds
92,Qurayyat,SA,31.3318,37.3428,50.18,50,0,6.91,clear sky
93,Trairi,BR,-3.2778,-39.2689,80.98,77,77,11.92,broken clouds
94,Ust-Maya,RU,60.4167,134.5333,-34.89,97,83,0.65,broken clouds
95,Castro,BR,-24.7911,-50.0119,65.12,82,100,4.72,overcast clouds
96,Mount Gambier,AU,-37.8333,140.7667,67.91,60,75,11.5,light rain
97,Trancoso,MX,22.7333,-102.3667,62.98,33,73,6.26,broken clouds
98,Albany,US,42.6001,-73.9662,40.57,51,0,1.99,clear sky
99,Rath,IN,25.5833,79.5667,54.16,58,1,2.95,clear sky
100,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,3.44,scattered clouds
101,Hamilton,US,39.1834,-84.5333,40.55,66,1,0.0,clear sky
102,Touros,BR,-5.1989,-35.4608,81.5,77,35,15.32,scattered clouds
103,Homer,US,59.6425,-151.5483,12.07,61,1,9.22,clear sky
104,Chokurdakh,RU,70.6333,147.9167,-36.85,97,100,1.88,overcast clouds
105,Tuy Hoa,VN,13.0833,109.3,73.72,89,100,17.98,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,71.51,91,1,13.44,clear sky
107,Ardmore,US,34.1743,-97.1436,49.01,47,1,5.99,clear sky
108,Lac Du Bonnet,CA,50.2536,-96.0612,32.59,85,100,12.21,overcast clouds
109,Shimoda,JP,34.6667,138.95,59.36,57,28,5.01,scattered clouds
110,Soyo,AO,-6.1349,12.3689,76.6,91,100,5.17,light rain
111,Cherskiy,RU,68.75,161.3,-40.36,100,94,1.21,overcast clouds
112,Taoudenni,ML,22.6783,-3.9836,64.83,23,19,13.33,few clouds
113,Morrinhos,BR,-17.7311,-49.0994,71.19,92,100,3.85,light rain
114,Muisne,EC,0.6,-80.0333,73.74,92,100,6.69,overcast clouds
